headline,url,publication_date,source,summary,category,relevance_score
Microsoft's open source tools were hacked to steal passwords of AI developers,https://techcrunch.com/2026/06/08/microsofts-open-source-tools-were-hacked-to-steal-passwords-of-ai-developers/,,Hacker News,260 points by raffael_de 4 hours ago | hide | 102 comments,open source,0.3667
GentleOS – Classic operating system with a lovely retro GUI,https://github.com/luke8086/gentleos32,,Hacker News,131 points by tekkertje 2 hours ago | hide | 29 comments,python,0.2387
Making Graphics Like it's 1993,https://staniks.github.io/articles/catlantean-3d-blog-1/,,Hacker News,55 points by sklopec 1 hour ago | hide | 9 comments,data,0.2236
OpenCV 5 Is Here: The Biggest Leap in Years for Computer Vision,https://opencv.org/opencv-5/,,Hacker News,317 points by ternaus 9 hours ago | hide | 50 comments,open source,0.2453
Apple reveals new AI architecture built around Google Gemini models,https://www.macrumors.com/2026/06/08/apple-reveals-new-ai-architecture/,,Hacker News,628 points by unclefuzzy 17 hours ago | hide | 476 comments,artificial intelligence,0.335
Thi.ng – open-source building blocks for computational design and art,https://thi.ng,,Hacker News,69 points by nmstoker 6 hours ago | hide | 13 comments,open source,0.4506
Siri AI,https://www.apple.com/apple-intelligence/,,Hacker News,608 points by 0xedb 18 hours ago | hide | 582 comments,data,0.2301
Eagle Computer: The rise and fall of an early PC clone,https://dfarq.homeip.net/eagle-computer-the-rise-and-fall-of-an-early-pc-clone/,,Hacker News,17 points by giuliomagnifico 3 hours ago | hide | 2 comments,startup,0.2731
xAI is looking more like a datacentre REIT than a frontier lab,https://martinalderson.com/posts/xais-new-rental-business/,,Hacker News,589 points by martinald 21 hours ago | hide | 459 comments,data,0.3181
Show HN: Performative-UI – A react component library of design tropes,https://vorpus.github.io/performativeUI/,,Hacker News,1025 points by lizhang 22 hours ago | hide | 187 comments,technology,0.263
Softmax: Why neural networks need non-linearity? life isn't straight-line simple,https://blog.sparsh.dev/softmax-activation-function/,,Hacker News,4 points by sparshrestha 1 hour ago | hide | 1 comment,machine learning,0.2589
